Month,Job Title,Growth Percentage,Average Salary,Openings
September,Full Stack Developer,+20.99% Growth,"$145,657",1023+ openings
March,Data Scientist,+34.79% Growth,"$131,246",1183+ openings
May,DevOps Engineer,+18.11% Growth,"$100,897",4500+ openings
September,Cloud Engineer,+27.16% Growth,"$132,328",3045+ openings
May,DevOps Engineer,+22.46% Growth,"$90,673",1523+ openings
May,DevOps Engineer,+19.29% Growth,"$79,940",3038+ openings
March,DevOps Engineer,+42.95% Growth,"$76,068",1100+ openings
August,Product Manager,+48.0% Growth,"$143,902",4569+ openings
June,Business Analyst,+25.19% Growth,"$114,354",2754+ openings
May,Data Scientist,+44.32% Growth,"$145,248",2663+ openings
February,Full Stack Developer,+18.67% Growth,"$100,662",3216+ openings
May,Cloud Engineer,+11.07% Growth,"$134,649",3298+ openings
April,DevOps Engineer,+18.98% Growth,"$91,398",1168+ openings
September,Full Stack Developer,+37.09% Growth,"$75,952",1694+ openings
July,Data Scientist,+18.45% Growth,"$79,351",1722+ openings
November,DevOps Engineer,+23.54% Growth,"$90,239",3336+ openings
February,Cloud Engineer,+31.9% Growth,"$148,957",2867+ openings
June,UX/UI Designer,+17.78% Growth,"$120,085",617+ openings
February,Software Engineer,+20.87% Growth,"$83,219",4163+ openings
December,DevOps Engineer,+34.85% Growth,"$76,917",660+ openings
June,Product Manager,+24.2% Growth,"$73,718",2850+ openings
February,Software Engineer,+33.34% Growth,"$117,160",3216+ openings
August,AI Engineer,+36.5% Growth,"$148,450",1430+ openings
December,Data Scientist,+18.2% Growth,"$123,937",3851+ openings
September,Product Manager,+16.65% Growth,"$102,696",1124+ openings
July,Software Engineer,+26.94% Growth,"$109,166",3624+ openings
May,Software Engineer,+40.44% Growth,"$76,067",3332+ openings
April,Data Scientist,+26.94% Growth,"$138,172",2127+ openings
April,Cloud Engineer,+36.36% Growth,"$104,697",2933+ openings
May,Cybersecurity Analyst,+13.08% Growth,"$145,982",2992+ openings
February,Product Manager,+12.42% Growth,"$143,756",1277+ openings
April,AI Engineer,+35.15% Growth,"$121,482",4975+ openings
November,Full Stack Developer,+11.9% Growth,"$79,992",2636+ openings
June,AI Engineer,+16.64% Growth,"$99,188",3295+ openings
January,UX/UI Designer,+38.4% Growth,"$101,812",3622+ openings
October,Full Stack Developer,+34.84% Growth,"$85,989",965+ openings
October,Data Scientist,+40.32% Growth,"$111,259",3965+ openings
November,Full Stack Developer,+18.37% Growth,"$77,924",893+ openings
August,AI Engineer,+39.02% Growth,"$93,450",4175+ openings
November,UX/UI Designer,+38.19% Growth,"$74,799",1749+ openings
September,Product Manager,+11.91% Growth,"$84,670",3256+ openings
June,Cybersecurity Analyst,+38.72% Growth,"$95,969",3556+ openings
April,UX/UI Designer,+46.74% Growth,"$81,771",3724+ openings
May,Data Scientist,+37.0% Growth,"$142,570",1005+ openings
February,AI Engineer,+34.39% Growth,"$121,479",2927+ openings
July,Cloud Engineer,+40.43% Growth,"$107,617",2793+ openings
July,AI Engineer,+29.0% Growth,"$94,065",3915+ openings
September,Software Engineer,+28.28% Growth,"$84,262",4806+ openings
April,Software Engineer,+34.01% Growth,"$76,904",2621+ openings
March,UX/UI Designer,+12.11% Growth,"$83,637",1057+ openings
December,DevOps Engineer,+17.41% Growth,"$120,123",767+ openings
May,AI Engineer,+24.01% Growth,"$147,206",4393+ openings
September,AI Engineer,+18.66% Growth,"$85,617",3207+ openings
February,UX/UI Designer,+28.27% Growth,"$101,703",1278+ openings
June,DevOps Engineer,+43.99% Growth,"$80,099",3744+ openings
June,Data Scientist,+47.01% Growth,"$105,381",4281+ openings
October,Cloud Engineer,+27.19% Growth,"$78,437",1083+ openings
June,AI Engineer,+36.24% Growth,"$148,353",4628+ openings
November,Full Stack Developer,+45.26% Growth,"$131,963",679+ openings
October,UX/UI Designer,+27.43% Growth,"$72,535",1667+ openings
July,DevOps Engineer,+22.0% Growth,"$113,391",2540+ openings
April,Cybersecurity Analyst,+33.08% Growth,"$131,517",3515+ openings
October,Data Scientist,+48.86% Growth,"$103,952",2323+ openings
September,DevOps Engineer,+21.87% Growth,"$99,032",2641+ openings
February,Product Manager,+30.28% Growth,"$138,152",2145+ openings
July,Cloud Engineer,+16.47% Growth,"$77,397",2844+ openings
October,UX/UI Designer,+37.93% Growth,"$93,960",1978+ openings
May,Cybersecurity Analyst,+9.34% Growth,"$129,886",685+ openings
May,UX/UI Designer,+41.63% Growth,"$139,520",1446+ openings
December,UX/UI Designer,+12.84% Growth,"$91,513",4979+ openings
June,Cybersecurity Analyst,+19.48% Growth,"$126,694",4507+ openings
August,UX/UI Designer,+15.54% Growth,"$76,886",4592+ openings
May,DevOps Engineer,+39.17% Growth,"$100,885",1504+ openings
December,Cloud Engineer,+24.75% Growth,"$86,235",1688+ openings
August,Cloud Engineer,+30.52% Growth,"$105,380",2587+ openings
November,Software Engineer,+44.2% Growth,"$138,937",572+ openings
October,DevOps Engineer,+36.28% Growth,"$122,489",3003+ openings
January,AI Engineer,+48.47% Growth,"$78,361",599+ openings
August,Cloud Engineer,+17.97% Growth,"$78,173",1689+ openings
November,Cybersecurity Analyst,+22.84% Growth,"$82,525",2366+ openings
March,Product Manager,+33.13% Growth,"$83,172",2518+ openings
April,UX/UI Designer,+47.02% Growth,"$123,077",1000+ openings
March,Cloud Engineer,+32.05% Growth,"$77,797",1204+ openings
March,Full Stack Developer,+48.71% Growth,"$141,685",1688+ openings
May,Data Scientist,+6.43% Growth,"$143,973",3131+ openings
December,Software Engineer,+33.06% Growth,"$106,561",2678+ openings
October,Business Analyst,+26.67% Growth,"$87,878",2141+ openings
November,Business Analyst,+46.64% Growth,"$103,726",2296+ openings
April,Cloud Engineer,+34.56% Growth,"$75,359",3383+ openings
December,DevOps Engineer,+15.27% Growth,"$106,822",3658+ openings
November,Cloud Engineer,+30.87% Growth,"$76,778",3433+ openings
March,Cybersecurity Analyst,+13.45% Growth,"$109,011",800+ openings
May,DevOps Engineer,+45.85% Growth,"$142,155",2420+ openings
November,Cloud Engineer,+18.97% Growth,"$135,395",2109+ openings
June,Business Analyst,+5.95% Growth,"$121,650",955+ openings
May,Business Analyst,+9.48% Growth,"$79,925",855+ openings
February,Full Stack Developer,+43.76% Growth,"$133,908",2266+ openings
January,Business Analyst,+21.67% Growth,"$114,707",3321+ openings
July,Software Engineer,+41.74% Growth,"$133,245",3701+ openings
July,Data Scientist,+9.06% Growth,"$70,702",1619+ openings
May,Product Manager,+35.02% Growth,"$128,001",2523+ openings
December,Cloud Engineer,+11.56% Growth,"$133,126",3968+ openings
April,Cybersecurity Analyst,+13.81% Growth,"$73,489",2583+ openings
June,AI Engineer,+33.06% Growth,"$134,678",1676+ openings
December,DevOps Engineer,+27.35% Growth,"$71,289",2134+ openings
July,Business Analyst,+21.18% Growth,"$144,462",2967+ openings
April,AI Engineer,+47.34% Growth,"$133,138",3581+ openings
April,Cloud Engineer,+20.02% Growth,"$124,187",2066+ openings
January,Product Manager,+31.07% Growth,"$120,908",4834+ openings
February,Data Scientist,+16.32% Growth,"$130,150",1009+ openings
February,UX/UI Designer,+41.78% Growth,"$116,688",2053+ openings
October,Business Analyst,+19.43% Growth,"$115,531",878+ openings
September,Full Stack Developer,+28.38% Growth,"$87,857",2579+ openings
May,Business Analyst,+28.6% Growth,"$83,431",2891+ openings
October,UX/UI Designer,+19.57% Growth,"$96,916",4629+ openings
December,Software Engineer,+7.78% Growth,"$122,408",2904+ openings
May,Cybersecurity Analyst,+28.57% Growth,"$87,973",926+ openings
June,UX/UI Designer,+39.02% Growth,"$99,144",2922+ openings
May,Product Manager,+39.66% Growth,"$126,558",1921+ openings
January,Cybersecurity Analyst,+49.28% Growth,"$77,835",1920+ openings
December,Business Analyst,+41.12% Growth,"$122,210",2772+ openings
February,Data Scientist,+41.23% Growth,"$139,858",3896+ openings
October,Software Engineer,+42.49% Growth,"$116,255",2765+ openings
August,Cybersecurity Analyst,+22.33% Growth,"$96,994",4874+ openings
April,AI Engineer,+25.81% Growth,"$93,013",1157+ openings
December,AI Engineer,+40.71% Growth,"$124,007",3591+ openings
June,Full Stack Developer,+43.78% Growth,"$92,789",3697+ openings
November,UX/UI Designer,+26.52% Growth,"$84,462",1336+ openings
February,Cloud Engineer,+34.97% Growth,"$110,156",1935+ openings
August,UX/UI Designer,+9.24% Growth,"$115,666",1964+ openings
November,Business Analyst,+45.16% Growth,"$128,487",2458+ openings
July,Data Scientist,+16.94% Growth,"$103,510",4074+ openings
February,Cloud Engineer,+27.8% Growth,"$75,370",2123+ openings
November,Business Analyst,+14.42% Growth,"$137,969",1744+ openings
June,Cloud Engineer,+20.89% Growth,"$107,296",1149+ openings
July,Cybersecurity Analyst,+39.97% Growth,"$73,166",3831+ openings
January,Cloud Engineer,+44.58% Growth,"$90,477",535+ openings
December,Software Engineer,+6.01% Growth,"$83,431",1570+ openings
January,Cybersecurity Analyst,+7.07% Growth,"$116,688",3510+ openings
June,UX/UI Designer,+29.85% Growth,"$149,616",1396+ openings
March,Business Analyst,+45.17% Growth,"$141,833",1641+ openings
February,Data Scientist,+41.73% Growth,"$72,675",4083+ openings
December,Business Analyst,+23.83% Growth,"$148,708",4264+ openings
April,Product Manager,+29.97% Growth,"$149,389",3732+ openings
December,Product Manager,+22.42% Growth,"$121,296",2885+ openings
December,Cloud Engineer,+16.15% Growth,"$130,606",2580+ openings
July,Business Analyst,+27.89% Growth,"$76,191",3972+ openings
October,AI Engineer,+33.51% Growth,"$139,287",3316+ openings
June,Product Manager,+30.85% Growth,"$143,809",3580+ openings
July,UX/UI Designer,+41.77% Growth,"$73,223",2283+ openings
November,Product Manager,+29.79% Growth,"$130,812",4564+ openings
August,Business Analyst,+35.51% Growth,"$71,360",1216+ openings
May,DevOps Engineer,+43.88% Growth,"$99,502",669+ openings
August,UX/UI Designer,+43.19% Growth,"$74,804",1859+ openings
February,DevOps Engineer,+19.04% Growth,"$106,671",1069+ openings
September,Data Scientist,+35.0% Growth,"$110,269",4251+ openings
December,AI Engineer,+20.95% Growth,"$93,657",2382+ openings
June,DevOps Engineer,+26.81% Growth,"$135,732",1341+ openings
February,Product Manager,+14.33% Growth,"$84,612",2811+ openings
December,UX/UI Designer,+10.62% Growth,"$108,833",4188+ openings
September,Software Engineer,+21.05% Growth,"$139,620",3641+ openings
July,Business Analyst,+49.42% Growth,"$143,560",1726+ openings
January,Product Manager,+39.53% Growth,"$102,607",788+ openings
March,Software Engineer,+28.46% Growth,"$87,340",4761+ openings
June,Cybersecurity Analyst,+8.95% Growth,"$127,354",3215+ openings
November,DevOps Engineer,+46.42% Growth,"$140,909",4922+ openings
January,AI Engineer,+35.03% Growth,"$98,613",4029+ openings
November,Full Stack Developer,+5.03% Growth,"$104,008",2446+ openings
January,AI Engineer,+17.25% Growth,"$141,885",685+ openings
June,DevOps Engineer,+39.13% Growth,"$97,940",2964+ openings
March,Software Engineer,+7.33% Growth,"$101,961",2711+ openings
November,UX/UI Designer,+12.65% Growth,"$142,805",2404+ openings
August,DevOps Engineer,+38.28% Growth,"$88,081",3850+ openings
February,Data Scientist,+36.59% Growth,"$93,014",4908+ openings
November,Cybersecurity Analyst,+36.44% Growth,"$147,985",1415+ openings
December,AI Engineer,+29.1% Growth,"$124,383",1301+ openings
August,DevOps Engineer,+8.62% Growth,"$74,934",4689+ openings
July,Software Engineer,+36.92% Growth,"$102,129",3759+ openings
August,Software Engineer,+19.54% Growth,"$140,456",509+ openings
April,Cloud Engineer,+21.96% Growth,"$99,220",3410+ openings
February,Data Scientist,+17.1% Growth,"$97,925",3291+ openings
November,Cloud Engineer,+40.32% Growth,"$92,409",2456+ openings
April,UX/UI Designer,+13.75% Growth,"$138,959",4996+ openings
October,Data Scientist,+37.68% Growth,"$148,539",902+ openings
June,AI Engineer,+10.96% Growth,"$130,232",2503+ openings
June,Business Analyst,+12.58% Growth,"$140,311",2218+ openings
January,Data Scientist,+46.23% Growth,"$78,346",4235+ openings
November,AI Engineer,+47.18% Growth,"$73,569",3680+ openings
July,Full Stack Developer,+46.62% Growth,"$132,403",4001+ openings
August,Cybersecurity Analyst,+5.32% Growth,"$109,627",925+ openings
May,AI Engineer,+10.81% Growth,"$76,082",1164+ openings
July,Cloud Engineer,+26.82% Growth,"$92,507",1856+ openings
December,Cloud Engineer,+12.98% Growth,"$78,250",2653+ openings
June,UX/UI Designer,+43.35% Growth,"$73,389",2307+ openings
April,Business Analyst,+32.42% Growth,"$94,516",1312+ openings
May,Business Analyst,+11.17% Growth,"$107,545",3738+ openings
February,Full Stack Developer,+20.2% Growth,"$116,530",3064+ openings
December,Product Manager,+45.04% Growth,"$139,811",2244+ openings
June,Product Manager,+13.62% Growth,"$139,787",3260+ openings
August,Cybersecurity Analyst,+46.09% Growth,"$121,689",597+ openings
August,Business Analyst,+40.59% Growth,"$141,210",573+ openings
May,DevOps Engineer,+18.99% Growth,"$100,417",871+ openings
July,Software Engineer,+6.2% Growth,"$80,286",944+ openings
July,Business Analyst,+27.72% Growth,"$128,911",1781+ openings
September,Cloud Engineer,+36.04% Growth,"$75,227",1582+ openings
July,UX/UI Designer,+11.23% Growth,"$142,828",4746+ openings
June,Business Analyst,+48.97% Growth,"$80,567",1200+ openings
September,Full Stack Developer,+38.13% Growth,"$126,256",3731+ openings
November,Business Analyst,+16.19% Growth,"$101,784",631+ openings
January,Full Stack Developer,+38.04% Growth,"$127,132",2092+ openings
December,AI Engineer,+35.88% Growth,"$149,434",3519+ openings
March,Full Stack Developer,+14.12% Growth,"$135,556",3431+ openings
January,Full Stack Developer,+32.51% Growth,"$79,122",2385+ openings
October,Cybersecurity Analyst,+5.72% Growth,"$94,526",2538+ openings
January,Data Scientist,+43.66% Growth,"$86,385",1363+ openings
July,Product Manager,+40.77% Growth,"$83,347",4255+ openings
April,Software Engineer,+30.0% Growth,"$125,083",4800+ openings
December,UX/UI Designer,+38.12% Growth,"$124,599",1022+ openings
March,Cybersecurity Analyst,+25.96% Growth,"$147,135",1822+ openings
October,AI Engineer,+27.61% Growth,"$77,092",3720+ openings
April,Data Scientist,+49.78% Growth,"$131,743",4929+ openings
February,DevOps Engineer,+47.9% Growth,"$125,112",957+ openings
November,Software Engineer,+36.83% Growth,"$81,089",709+ openings
February,DevOps Engineer,+6.44% Growth,"$87,823",1720+ openings
September,Product Manager,+37.82% Growth,"$115,114",2707+ openings
March,UX/UI Designer,+39.53% Growth,"$124,269",4635+ openings
February,Business Analyst,+15.07% Growth,"$146,484",2733+ openings
June,Cybersecurity Analyst,+42.18% Growth,"$112,849",4064+ openings
July,Data Scientist,+11.76% Growth,"$116,401",3185+ openings
April,UX/UI Designer,+15.42% Growth,"$102,328",4001+ openings
February,Software Engineer,+17.38% Growth,"$108,283",2980+ openings
May,Business Analyst,+45.29% Growth,"$129,626",945+ openings
October,DevOps Engineer,+20.41% Growth,"$139,142",4503+ openings
November,Product Manager,+43.47% Growth,"$77,964",1556+ openings
October,Cloud Engineer,+27.25% Growth,"$72,334",674+ openings
March,Cloud Engineer,+18.81% Growth,"$97,554",3536+ openings
November,Product Manager,+8.07% Growth,"$75,116",4304+ openings
July,DevOps Engineer,+35.21% Growth,"$101,848",992+ openings
September,Data Scientist,+29.37% Growth,"$120,262",3926+ openings
July,DevOps Engineer,+36.15% Growth,"$101,811",4959+ openings
August,AI Engineer,+8.9% Growth,"$103,760",1081+ openings
April,DevOps Engineer,+25.78% Growth,"$83,879",4661+ openings
September,UX/UI Designer,+25.26% Growth,"$97,133",1288+ openings
July,Cloud Engineer,+12.4% Growth,"$123,682",891+ openings
January,Data Scientist,+37.77% Growth,"$137,938",2441+ openings
March,AI Engineer,+36.05% Growth,"$139,084",4401+ openings
August,Cloud Engineer,+27.05% Growth,"$108,278",4763+ openings
September,AI Engineer,+37.33% Growth,"$77,410",3232+ openings
July,UX/UI Designer,+26.2% Growth,"$101,730",4752+ openings
August,Cybersecurity Analyst,+11.45% Growth,"$96,767",4658+ openings
July,AI Engineer,+11.9% Growth,"$127,862",4437+ openings
June,Data Scientist,+40.05% Growth,"$79,341",2332+ openings
November,Full Stack Developer,+18.04% Growth,"$77,163",2515+ openings
July,UX/UI Designer,+16.48% Growth,"$82,653",1275+ openings
December,AI Engineer,+40.95% Growth,"$134,842",3219+ openings
June,Full Stack Developer,+26.01% Growth,"$116,486",761+ openings
January,UX/UI Designer,+8.82% Growth,"$102,050",3384+ openings
August,Product Manager,+11.6% Growth,"$90,283",823+ openings
December,AI Engineer,+23.5% Growth,"$96,024",2510+ openings
August,Cloud Engineer,+45.35% Growth,"$122,015",1399+ openings
May,DevOps Engineer,+18.53% Growth,"$87,187",2838+ openings
February,Cybersecurity Analyst,+22.41% Growth,"$102,502",2098+ openings
August,Product Manager,+43.44% Growth,"$127,377",2365+ openings
February,Software Engineer,+47.98% Growth,"$135,828",2557+ openings
January,Cybersecurity Analyst,+27.7% Growth,"$96,147",3749+ openings
July,Full Stack Developer,+47.79% Growth,"$126,430",3438+ openings
February,Cybersecurity Analyst,+36.55% Growth,"$148,683",4340+ openings
March,Cloud Engineer,+21.14% Growth,"$110,758",4912+ openings
July,UX/UI Designer,+38.01% Growth,"$117,298",1483+ openings
January,AI Engineer,+41.55% Growth,"$136,678",1984+ openings
December,AI Engineer,+35.14% Growth,"$126,165",2408+ openings
April,Cloud Engineer,+16.08% Growth,"$120,197",4736+ openings
April,Business Analyst,+36.7% Growth,"$100,211",1896+ openings
July,Cloud Engineer,+36.85% Growth,"$113,769",2511+ openings
May,Product Manager,+9.76% Growth,"$125,994",4869+ openings
October,Data Scientist,+22.68% Growth,"$74,861",4011+ openings
March,UX/UI Designer,+31.86% Growth,"$102,057",2225+ openings
August,Cloud Engineer,+30.15% Growth,"$109,501",2689+ openings
November,Business Analyst,+7.68% Growth,"$125,975",2011+ openings
March,Data Scientist,+42.91% Growth,"$131,533",2853+ openings
July,Product Manager,+44.08% Growth,"$78,691",3730+ openings
September,Cloud Engineer,+43.03% Growth,"$124,955",3340+ openings
May,Cloud Engineer,+36.98% Growth,"$146,727",891+ openings
September,Product Manager,+8.92% Growth,"$146,274",3097+ openings
August,Product Manager,+13.57% Growth,"$106,080",3555+ openings
December,Data Scientist,+49.93% Growth,"$149,790",3835+ openings
June,AI Engineer,+26.44% Growth,"$142,048",4962+ openings
May,Cybersecurity Analyst,+38.34% Growth,"$140,751",4464+ openings
November,UX/UI Designer,+24.24% Growth,"$85,141",2689+ openings
October,Business Analyst,+23.5% Growth,"$86,953",1259+ openings
April,Data Scientist,+31.89% Growth,"$141,461",3276+ openings
September,DevOps Engineer,+23.14% Growth,"$85,511",673+ openings
August,Product Manager,+20.45% Growth,"$146,380",3562+ openings
July,DevOps Engineer,+29.41% Growth,"$109,529",1767+ openings
December,Software Engineer,+37.33% Growth,"$74,633",3191+ openings
March,Software Engineer,+15.08% Growth,"$84,377",3078+ openings
March,Software Engineer,+39.41% Growth,"$116,469",2003+ openings
June,UX/UI Designer,+13.91% Growth,"$132,442",2851+ openings
December,UX/UI Designer,+34.31% Growth,"$111,272",3821+ openings
June,Product Manager,+23.44% Growth,"$149,322",2872+ openings
February,Business Analyst,+18.57% Growth,"$113,399",4879+ openings
October,Cybersecurity Analyst,+44.06% Growth,"$92,014",4642+ openings
February,Cybersecurity Analyst,+43.54% Growth,"$127,369",4908+ openings
January,Cloud Engineer,+26.12% Growth,"$140,856",2289+ openings
June,UX/UI Designer,+35.45% Growth,"$145,003",3088+ openings
June,UX/UI Designer,+22.36% Growth,"$86,271",4414+ openings
January,Business Analyst,+34.29% Growth,"$138,111",3336+ openings
November,DevOps Engineer,+41.43% Growth,"$73,314",1836+ openings
September,Cloud Engineer,+6.2% Growth,"$145,849",685+ openings
November,Data Scientist,+47.3% Growth,"$138,813",1049+ openings
January,AI Engineer,+15.56% Growth,"$76,844",1687+ openings
April,UX/UI Designer,+42.68% Growth,"$112,297",2771+ openings
March,Full Stack Developer,+36.39% Growth,"$91,440",3978+ openings
February,AI Engineer,+12.46% Growth,"$115,379",2508+ openings
September,UX/UI Designer,+22.15% Growth,"$87,758",2191+ openings
February,Product Manager,+41.93% Growth,"$120,303",4626+ openings
March,AI Engineer,+39.69% Growth,"$138,010",4327+ openings
